model_name,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_true_negative,val_false_positive,val_false_negative,val_true_positive,val_false_positive_rate,val_false_negative_rate,val_roc_auc,val_average_precision,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_false_positive_rate,test_false_negative_rate,test_roc_auc,test_average_precision
dummy,0.5214481289930027,0.5214481289930027,1.0,0.6854629074185163,0.8449176772158139,0.0,4719.0,0.0,5142.0,1.0,0.0,0.5,0.5214481289930027,0.521496653822754,0.521496653822754,1.0,0.6855048317227591,0.8449431556811461,0.0,4719.0,0.0,5143.0,1.0,0.0,0.5,0.521496653822754
logistic_regression,0.9865125240847784,0.9852741716721566,0.9889148191365228,0.9870911385033485,0.9881845388472152,4643.0,76.0,57.0,5085.0,0.016105107014197925,0.011085180863477246,0.9986980477062158,0.9987193150136726,0.9875278848103833,0.9843689695098418,0.9918335601788839,0.9880871670702179,0.9903315989749165,4638.0,81.0,42.0,5101.0,0.017164653528289893,0.00816643982111608,0.9986238050332229,0.9987049995091772
linear_svc,0.9910759557854173,0.9899185730903451,0.9929988331388565,0.9914563106796116,0.9923812485423307,4667.0,52.0,36.0,5106.0,0.011019283746556474,0.007001166861143524,0.9994221741861501,0.9995086687296496,0.9891502737781384,0.9870406189555125,0.9922224382656037,0.9896247454668865,0.9911817263615881,4652.0,67.0,40.0,5103.0,0.01419792328883238,0.0077775617343962666,0.9991272286890337,0.999168154146406
complement_nb,0.9604502585944631,0.9884868421052632,0.9350447296771685,0.961023385968419,0.9452658068575024,4663.0,56.0,334.0,4808.0,0.01186692095783005,0.06495527032283158,0.9965990246567313,0.9960751902085702,0.9652200365037518,0.9911993450675399,0.941668286992028,0.9657991823711237,0.9511744834629586,4676.0,43.0,300.0,4843.0,0.00911210002119093,0.058331713007972,0.997204016824684,0.9972151837135885
